,DATE,avalanche_sum,PRCP,SNWD,TMAX,TMIN,MONTH_1,MONTH_10,MONTH_11,MONTH_12,MONTH_2,MONTH_3,MONTH_4,MONTH_5,MONTH_6,MONTH_7,MONTH_8,MONTH_9,snow_diff_day,snow_diff_week,got_snow,min_below_freezing,max_above_freezing,min*max,avalanche_binary,Region_Ogden,Region_Provo,Region_Salt Lake,Region_Uintas
3826,2010-05-08,0.0,0.0,73.0,47.0,26.0,0,0,0,0,0,0,0,1,0,0,0,0,-4.0,-19.0,0,1,1,1,False,0,0,1,0
3827,2010-05-09,0.0,0.0,70.0,51.0,30.0,0,0,0,0,0,0,0,1,0,0,0,0,-3.0,-32.0,0,1,1,1,False,0,0,1,0
3828,2010-05-10,0.0,0.74,72.0,51.0,28.0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,-6.0,1,1,1,1,False,0,0,1,0
3829,2010-05-11,0.0,0.65,76.0,35.0,28.0,0,0,0,0,0,0,0,1,0,0,0,0,4.0,-8.0,1,1,1,1,False,0,0,1,0
3831,2010-05-13,0.0,0.0,73.0,40.0,22.0,0,0,0,0,0,0,0,1,0,0,0,0,-4.0,-5.0,0,1,1,1,False,0,0,1,0
3832,2010-05-14,0.0,0.0,72.0,44.0,27.0,0,0,0,0,0,0,0,1,0,0,0,0,-1.0,-5.0,0,1,1,1,False,0,0,1,0
3833,2010-05-15,0.0,0.0,69.0,47.0,29.0,0,0,0,0,0,0,0,1,0,0,0,0,-3.0,-4.0,0,1,1,1,False,0,0,1,0
3834,2010-05-16,0.0,0.0,67.0,57.0,31.0,0,0,0,0,0,0,0,1,0,0,0,0,-2.0,-3.0,0,1,1,1,False,0,0,1,0
3837,2010-05-19,0.0,0.1,62.0,44.0,25.0,0,0,0,0,0,0,0,1,0,0,0,0,-1.0,-15.0,0,1,1,1,False,0,0,1,0
3838,2010-05-20,0.0,0.0,63.0,48.0,33.0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,-10.0,1,0,1,0,False,0,0,1,0
