STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,EVAP,MDPR,MNPN,MXPN,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDMV,WESD,WT01,WT03
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/11/2000,,,,,,0.1,,17,27,35,19,25,,12.3,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/12/2000,,,,,,0,,17,30,40,22,28,,12.5,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/13/2000,,,,,,0,,14,42,50,28,42,,11.7,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/14/2000,,,,,,0,,10,50,56,41,49,,10,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/15/2000,,,,,,0,,8,52,62,48,49,,8.6,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/16/2000,,,,,,0,,5,43,53,32,33,,7.9,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/17/2000,,,,,,0,,5,40,49,33,36,,6.3,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/18/2000,,,,,,0,,0,44,51,36,43,,5,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/19/2000,,,,,,0,,0,49,55,43,47,,3.3,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/20/2000,,,,,,0,,0,52,58,43,51,,1.7,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/21/2000,,,,,,0,,0,55,63,48,57,,0.5,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/22/2000,,,,,,0,,0,61,67,53,60,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/23/2000,,,,,,0,,0,59,65,52,54,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/24/2000,,,,,,0,,0,55,62,48,48,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/25/2000,,,,,,0.4,,0,50,62,41,44,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/26/2000,,,,,,0,,0,49,55,43,49,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/27/2000,,,,,,0,,0,57,64,47,61,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/28/2000,,,,,,0,,0,63,71,58,61,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/29/2000,,,,,,0,,0,60,71,46,46,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/30/2000,,,,,,0,,0,57,67,45,46,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,5/31/2000,,,,,,0,,0,44,53,36,38,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/1/2000,,,,,,0,,0,52,65,34,57,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/2/2000,,,,,,0,,0,63,71,55,63,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/3/2000,,,,,,0,,0,64,73,56,56,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/4/2000,,,,,,0,,0,65,76,56,61,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/5/2000,,,,,,0,,0,68,80,58,60,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/6/2000,,,,,,0,,0,66,75,58,62,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/7/2000,,,,,,0,,0,69,79,59,66,,0,,
USS0011H08S,"BEN LOMOND PEAK, UT US",41.38,-111.94,2438.4,6/8/2000,,,,,,0,,0,62,67,52,52,,0,,
